asset_i,asset_j,quantile,joint_probability,independence_probability,conditional_probability,excess_probability,excess_ci_low,excess_ci_high,block_length,bootstrap_reps,primary_specification,n,sample_start,sample_end
BCH,BTC,0.025,0.0139581253752112,0.000625,0.55832501500845,0.0133331253752112,0.00784957595169544,0.019813684746623,10,2000,True,2006,2021-01-02,2026-06-30
BCH,DOGE,0.025,0.0154536394402385,0.000625,0.618145577609539,0.0148286394402385,0.0093450890854001,0.0208106935024261,10,2000,True,2006,2021-01-02,2026-06-30
BCH,DOT,0.025,0.0144566297531128,0.000625,0.578265190124512,0.0138316297531128,0.008348080329597,0.019813684746623,10,2000,True,2006,2021-01-02,2026-06-30
BCH,ETH,0.025,0.01595214381814,0.000625,0.638085752725601,0.01532714381814,0.0093450890854001,0.0218077022582293,10,2000,True,2006,2021-01-02,2026-06-30
BCH,LINK,0.025,0.0149551341310143,0.000625,0.598205365240574,0.0143301341310143,0.00884658470749855,0.0208106935024261,10,2000,True,2006,2021-01-02,2026-06-30
BCH,LTC,0.025,0.0189431700855494,0.000625,0.757726803421974,0.0183181700855494,0.012336116284132,0.0252972338348627,10,2000,True,2006,2021-01-02,2026-06-30
BCH,SNX,0.025,0.0134596209973097,0.000625,0.538384839892387,0.0128346209973097,0.00735107203945518,0.0183181706815958,10,2000,True,2006,2021-01-02,2026-06-30
BCH,UNI,0.025,0.0144566297531128,0.000625,0.578265190124512,0.0138316297531128,0.008348080329597,0.020312188193202,10,2000,True,2006,2021-01-02,2026-06-30
BCH,XLM,0.025,0.01595214381814,0.000625,0.638085752725601,0.01532714381814,0.00984359346330166,0.0213091988116503,10,2000,True,2006,2021-01-02,2026-06-30
BCH,XRP,0.025,0.0149551341310143,0.000625,0.598205365240574,0.0143301341310143,0.00884658470749855,0.020312188193202,10,2000,True,2006,2021-01-02,2026-06-30
BNB,BTC,0.025,0.0149551341310143,0.000625,0.598205365240574,0.0143301341310143,0.008348080329597,0.0213091988116503,10,2000,True,2006,2021-01-02,2026-06-30
BNB,DOGE,0.025,0.011964107863605,0.000625,0.478564314544201,0.011339107863605,0.00635406281799078,0.0168226584792137,10,2000,True,2006,2021-01-02,2026-06-30
BNB,DOT,0.025,0.0129611166194081,0.000625,0.518444664776325,0.0123361166194081,0.00685256719589233,0.0188166759908199,10,2000,True,2006,2021-01-02,2026-06-30
BNB,ETH,0.025,0.0149551341310143,0.000625,0.598205365240574,0.0143301341310143,0.008348080329597,0.0213091988116503,10,2000,True,2006,2021-01-02,2026-06-30
BNB,LINK,0.025,0.0124626122415066,0.000625,0.498504489660263,0.0118376122415066,0.00635406281799078,0.0178196672350168,10,2000,True,2006,2021-01-02,2026-06-30
BNB,LTC,0.025,0.0134596209973097,0.000625,0.538384839892387,0.0128346209973097,0.00784957595169544,0.0188166759908199,10,2000,True,2006,2021-01-02,2026-06-30
BNB,SNX,0.025,0.0104685937985778,0.000625,0.418743751943111,0.00984359379857778,0.00535705406218767,0.0143301337957382,10,2000,True,2006,2021-01-02,2026-06-30
BNB,UNI,0.025,0.011964107863605,0.000625,0.478564314544201,0.011339107863605,0.00684010470286012,0.0168226584792137,10,2000,True,2006,2021-01-02,2026-06-30
BNB,XLM,0.025,0.0124626122415066,0.000625,0.498504489660263,0.0118376122415066,0.00635406281799078,0.0178196672350168,10,2000,True,2006,2021-01-02,2026-06-30
BNB,XRP,0.025,0.011964107863605,0.000625,0.478564314544201,0.011339107863605,0.00635406281799078,0.0173211619257927,10,2000,True,2006,2021-01-02,2026-06-30
BTC,DOGE,0.025,0.0114656034857035,0.000625,0.458624139428139,0.0108406034857035,0.00585555844008923,0.015838110819459,10,2000,True,2006,2021-01-02,2026-06-30
