date,timestamp_utc,Fees Burnt (Total)
2020-11-02,2020-11-02T00:00:00Z,
2020-11-03,2020-11-03T00:00:00Z,
2020-11-04,2020-11-04T00:00:00Z,
2020-11-05,2020-11-05T00:00:00Z,
2020-11-06,2020-11-06T00:00:00Z,
2020-11-07,2020-11-07T00:00:00Z,
2020-11-08,2020-11-08T00:00:00Z,
2020-11-09,2020-11-09T00:00:00Z,
2020-11-10,2020-11-10T00:00:00Z,
2020-11-11,2020-11-11T00:00:00Z,
2020-11-12,2020-11-12T00:00:00Z,
2020-11-13,2020-11-13T00:00:00Z,
2020-11-14,2020-11-14T00:00:00Z,
2020-11-15,2020-11-15T00:00:00Z,
2020-11-16,2020-11-16T00:00:00Z,
2020-11-17,2020-11-17T00:00:00Z,
2020-11-18,2020-11-18T00:00:00Z,
2020-11-19,2020-11-19T00:00:00Z,
2020-11-20,2020-11-20T00:00:00Z,
2020-11-21,2020-11-21T00:00:00Z,
2020-11-22,2020-11-22T00:00:00Z,
2020-11-23,2020-11-23T00:00:00Z,
2020-11-24,2020-11-24T00:00:00Z,
2020-11-25,2020-11-25T00:00:00Z,
2020-11-26,2020-11-26T00:00:00Z,
2020-11-27,2020-11-27T00:00:00Z,
2020-11-28,2020-11-28T00:00:00Z,
2020-11-29,2020-11-29T00:00:00Z,
2020-11-30,2020-11-30T00:00:00Z,
2020-12-01,2020-12-01T00:00:00Z,
2020-12-02,2020-12-02T00:00:00Z,
2020-12-03,2020-12-03T00:00:00Z,
2020-12-04,2020-12-04T00:00:00Z,
2020-12-05,2020-12-05T00:00:00Z,
2020-12-06,2020-12-06T00:00:00Z,
2020-12-07,2020-12-07T00:00:00Z,
2020-12-08,2020-12-08T00:00:00Z,
2020-12-09,2020-12-09T00:00:00Z,
2020-12-10,2020-12-10T00:00:00Z,
2020-12-11,2020-12-11T00:00:00Z,
2020-12-12,2020-12-12T00:00:00Z,
2020-12-13,2020-12-13T00:00:00Z,
2020-12-14,2020-12-14T00:00:00Z,
2020-12-15,2020-12-15T00:00:00Z,
2020-12-16,2020-12-16T00:00:00Z,
2020-12-17,2020-12-17T00:00:00Z,
2020-12-18,2020-12-18T00:00:00Z,
2020-12-19,2020-12-19T00:00:00Z,
2020-12-20,2020-12-20T00:00:00Z,
2020-12-21,2020-12-21T00:00:00Z,
2020-12-22,2020-12-22T00:00:00Z,
2020-12-23,2020-12-23T00:00:00Z,
2020-12-24,2020-12-24T00:00:00Z,
2020-12-25,2020-12-25T00:00:00Z,
2020-12-26,2020-12-26T00:00:00Z,
2020-12-27,2020-12-27T00:00:00Z,
2020-12-28,2020-12-28T00:00:00Z,
2020-12-29,2020-12-29T00:00:00Z,
2020-12-30,2020-12-30T00:00:00Z,
2020-12-31,2020-12-31T00:00:00Z,
