date,Tokens Transferred (Total)
2009-01-03,0.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,0.0
2009-01-10,0.0
2009-01-11,0.0
2009-01-12,179.0
2009-01-13,0.0
2009-01-14,61.0
2009-01-15,500.0
2009-01-16,200.0
2009-01-17,0.0
2009-01-18,149.9999985
2009-01-19,774.99999725
2009-01-20,400.0
2009-01-21,100.0
2009-01-22,500.0
2009-01-23,450.0000045
2009-01-24,500.0
2009-01-25,50.0
2009-01-26,1000.0
2009-01-27,149.9999985
2009-01-28,0.0
2009-01-29,599.999976
2009-01-30,0.0
2009-01-31,1000.0
2009-02-01,100.0
2009-02-02,50.0
2009-02-03,736.52
2009-02-04,0.0
2009-02-05,0.0
2009-02-06,0.0
2009-02-07,1197.99999652
2009-02-08,1000.0
2009-02-09,2199.999736
2009-02-10,0.0
2009-02-11,550.04000698
2009-02-12,0.0
2009-02-13,0.0
2009-02-14,0.0
2009-02-15,899.9999945
2009-02-16,1499.99985
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,800.0
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,1050.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.0
2009-02-26,0.0
2009-02-27,1800.000144
2009-02-28,349.999993
2009-03-01,0.0
2009-03-02,0.0
2009-03-03,399.9999985
2009-03-04,1250.000096
2009-03-05,400.0
2009-03-06,0.0
2009-03-07,0.0
2009-03-08,1550.000078
2009-03-09,0.0
2009-03-10,0.0
2009-03-11,0.0
2009-03-12,149.9999985
2009-03-13,750.00003
2009-03-14,0.0
2009-03-15,0.0
2009-03-16,2399.999616
2009-03-17,0.0
2009-03-18,699.999993
2009-03-19,0.0
2009-03-20,599.999976
2009-03-21,0.0
2009-03-22,550.000006
2009-03-23,0.0
2009-03-24,0.0
2009-03-25,0.0
2009-03-26,1400.000168
2009-03-27,0.0
2009-03-28,999.9999985
2009-03-29,0.0
2009-03-30,0.0
2009-03-31,1600.0
2009-04-01,0.0
2009-04-02,0.0
2009-04-03,0.0
2009-04-04,0.0
2009-04-05,850.0000375
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,0.0
2009-04-09,0.0
2009-04-10,0.0
2009-04-11,349.999993
2009-04-12,950.000006
2009-04-13,50.0
2009-04-14,0.0
2009-04-15,0.0
2009-04-16,0.0
2009-04-17,0.0
2009-04-18,182.51
2009-04-19,400.0
2009-04-20,5749.998725
2009-04-21,50.0
2009-04-22,0.0
2009-04-23,0.0
2009-04-24,0.0
2009-04-25,0.0
2009-04-26,750.000026
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,1000.0
2009-04-30,0.0
2009-05-01,0.0
2009-05-02,749.93995803
2009-05-03,110.0
2009-05-04,1499.99985
2009-05-05,500.0
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
2009-05-09,0.0
2009-05-10,0.0
2009-05-11,100.0
2009-05-12,0.0
2009-05-13,150.01
2009-05-14,199.99
2009-05-15,500.0
2009-05-16,0.0
2009-05-17,0.0
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,0.0
2009-05-21,0.0
2009-05-22,0.0
2009-05-23,0.0
2009-05-24,0.0
2009-05-25,0.0
2009-05-26,0.0
2009-05-27,0.0
2009-05-28,0.0
2009-05-29,3000.0006
2009-05-30,0.0
2009-05-31,0.0
2009-06-01,50.0
2009-06-02,0.0
2009-06-03,0.0
2009-06-04,0.0
2009-06-05,0.0
2009-06-06,0.0
2009-06-07,0.0
2009-06-08,0.0
2009-06-09,0.0
2009-06-10,0.0
2009-06-11,0.0
2009-06-12,0.0
2009-06-13,0.0
2009-06-14,0.0
2009-06-15,0.0
2009-06-16,0.0
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,0.0
2009-06-20,0.0
2009-06-21,0.0
2009-06-22,3000.0006
2009-06-23,0.0
2009-06-24,148.98
2009-06-25,1000.0
2009-06-26,0.0
2009-06-27,0.0
2009-06-28,50.0
2009-06-29,50.0
2009-06-30,95.0
2009-07-01,100.0
2009-07-02,50.0
2009-07-03,0.0
2009-07-04,0.0
2009-07-05,0.0
2009-07-06,0.0
2009-07-07,0.0
2009-07-08,0.0
2009-07-09,0.0
2009-07-10,0.0
2009-07-11,0.0
2009-07-12,0.0
2009-07-13,0.0
2009-07-14,0.0
2009-07-15,0.0
2009-07-16,0.0
2009-07-17,0.0
2009-07-18,0.0
2009-07-19,0.0
2009-07-20,6049.66739868
2009-07-21,0.0
2009-07-22,0.0
2009-07-23,0.0
2009-07-24,0.0
2009-07-25,0.0
2009-07-26,0.0
2009-07-27,0.0
2009-07-28,0.0
2009-07-29,100.0
2009-07-30,50.0
2009-07-31,0.0
2009-08-01,0.0
2009-08-02,0.0
2009-08-03,0.0
2009-08-04,0.0
2009-08-05,0.0
2009-08-06,0.0
2009-08-07,5549.52877931
2009-08-08,0.0
2009-08-09,0.0
2009-08-10,0.0
2009-08-11,0.0
2009-08-12,0.0
2009-08-13,0.0
2009-08-14,0.0
2009-08-15,0.0
2009-08-16,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,0.0
2009-08-21,0.0
2009-08-22,0.0
2009-08-23,0.0
2009-08-24,0.0
2009-08-25,0.0
2009-08-26,2348.05990694
2009-08-27,0.0
2009-08-28,0.0
2009-08-29,0.0
2009-08-30,50.0
2009-08-31,300.000006
2009-09-01,0.0
2009-09-02,0.0
2009-09-03,699.999986
2009-09-04,0.0
2009-09-05,0.0
2009-09-06,0.0
2009-09-07,650.000026
2009-09-08,0.0
2009-09-09,0.0
2009-09-10,0.0
2009-09-11,0.0
2009-09-12,0.0
2009-09-13,0.0
2009-09-14,0.0
2009-09-15,0.0
2009-09-16,1.0
2009-09-17,5049.9999495
2009-09-18,0.0
2009-09-19,0.0
2009-09-20,0.0
2009-09-21,400.0
2009-09-22,2000.0
